[2026-04-24 02:00:39] Starting retry crawl for error products...
[2026-04-24 02:00:39] Input file: /home/buiphamhoaithanh/crawl_output/retry_error.jsonl
[2026-04-24 02:06:39] ACQUIRED product_id=98265 retry=1
[2026-04-24 02:06:39] FINISHED product_id=108525 status=failed
[2026-04-24 02:06:43] STATUS product_id=98265 status=200
[2026-04-24 02:06:43] ACQUIRED product_id=102614 retry=1
[2026-04-24 02:06:43] FINISHED product_id=98265 status=success
[2026-04-24 02:06:47] STATUS product_id=102614 status=403
[2026-04-24 02:06:47] ACQUIRED product_id=97107 retry=1
[2026-04-24 02:06:47] FINISHED product_id=102614 status=failed
[2026-04-24 02:06:50] STATUS product_id=97107 status=403
[2026-04-24 02:06:50] ACQUIRED product_id=92469 retry=1
[2026-04-24 02:06:50] FINISHED product_id=97107 status=failed
[2026-04-24 02:06:53] STATUS product_id=92469 status=403
[2026-04-24 02:06:53] FINISHED product_id=92469 status=failed
[2026-04-24 02:06:53] Batch 5: total=15, success=4, error=11, time=82.27s
[2026-04-24 02:06:55] RUNNING batch=6 size=15
[2026-04-24 02:06:55] QUEUE product_id=86908 retry=0
[2026-04-24 02:06:55] ACQUIRED product_id=86908 retry=0
[2026-04-24 02:06:55] QUEUE product_id=101884 retry=0
